"Year","Category","Nominee","Won"
"1944 (17th)","ACTRESS IN A SUPPORTING ROLE","Since You Went Away ","no"
"1944 (17th)","ACTRESS IN A SUPPORTING ROLE","Gaslight ","no"
"1944 (17th)","ACTRESS IN A SUPPORTING ROLE","Dragon Seed ","no"
"1944 (17th)","ACTRESS IN A SUPPORTING ROLE","Mrs. Parkington ","no"
"1944 (17th)","DIRECTING","Double Indemnity","no"
"1944 (17th)","DIRECTING","Going My Way","yes"
"1944 (17th)","DIRECTING","Laura","no"
"1944 (17th)","DIRECTING","Lifeboat","no"
"1944 (17th)","DIRECTING","Wilson","no"
"1944 (17th)","FILM EDITING","Going My Way","no"
"1944 (17th)","FILM EDITING","Janie","no"
"1944 (17th)","FILM EDITING","None but the Lonely Heart","no"
"1944 (17th)","FILM EDITING","Since You Went Away","no"
"1944 (17th)","FILM EDITING","Wilson","yes"
"1945 (18th)","ACTOR","The Bells of St. Mary's ","no"
"1945 (18th)","ACTOR","Anchors Aweigh ","no"
"1945 (18th)","ACTOR","The Lost Weekend ","yes"
"1945 (18th)","ACTOR","The Keys of the Kingdom ","no"
"1945 (18th)","ACTOR","A Song to Remember ","no"
"1945 (18th)","ACTOR IN A SUPPORTING ROLE","Spellbound ","no"
"1945 (18th)","ACTOR IN A SUPPORTING ROLE","The Corn Is Green ","no"
"1945 (18th)","ACTOR IN A SUPPORTING ROLE","A Tree Grows in Brooklyn ","yes"
"1945 (18th)","ACTOR IN A SUPPORTING ROLE","G. I. Joe ","no"
"1945 (18th)","ACTOR IN A SUPPORTING ROLE","A Medal for Benny ","no"
"1945 (18th)","ACTRESS","The Bells of St. Mary's ","no"
"1945 (18th)","ACTRESS","Mildred Pierce ","yes"
"1945 (18th)","ACTRESS","The Valley of Decision ","no"
"1945 (18th)","ACTRESS","Love Letters ","no"
"1945 (18th)","ACTRESS","Leave Her to Heaven ","no"
"1945 (18th)","ACTRESS IN A SUPPORTING ROLE","Mildred Pierce ","no"
"1945 (18th)","ACTRESS IN A SUPPORTING ROLE","Mildred Pierce ","no"
"1945 (18th)","ACTRESS IN A SUPPORTING ROLE","The Picture of Dorian Gray ","no"
"1945 (18th)","ACTRESS IN A SUPPORTING ROLE","The Corn Is Green ","no"
"1945 (18th)","ACTRESS IN A SUPPORTING ROLE","National Velvet ","yes"
"1945 (18th)","DIRECTING","The Bells of St. Mary's","no"
"1945 (18th)","DIRECTING","The Lost Weekend","yes"
"1945 (18th)","DIRECTING","National Velvet","no"
"1945 (18th)","DIRECTING","The Southerner","no"
"1945 (18th)","DIRECTING","Spellbound","no"
"1945 (18th)","FILM EDITING","The Bells of St. Mary's","no"
"1945 (18th)","FILM EDITING","The Lost Weekend","no"
"1945 (18th)","FILM EDITING","National Velvet","yes"
"1945 (18th)","FILM EDITING","Objective; Burma!","no"
"1945 (18th)","FILM EDITING","A Song to Remember","no"
"1946 (19th)","ACTOR","The Best Years of Our Lives ","yes"
"1946 (19th)","ACTOR","Henry V ","no"
"1946 (19th)","ACTOR","The Jolson Story ","no"
"1946 (19th)","ACTOR","The Yearling ","no"
"1946 (19th)","ACTOR","It's a Wonderful Life ","no"
"1946 (19th)","ACTOR IN A SUPPORTING ROLE","The Green Years ","no"
"1946 (19th)","ACTOR IN A SUPPORTING ROLE","The Jolson Story ","no"
"1946 (19th)","ACTOR IN A SUPPORTING ROLE","Notorious ","no"
"1946 (19th)","ACTOR IN A SUPPORTING ROLE","The Best Years of Our Lives ","yes"
"1946 (19th)","ACTOR IN A SUPPORTING ROLE","The Razor's Edge ","no"
"1946 (19th)","ACTRESS","To Each His Own ","yes"
"1946 (19th)","ACTRESS","Brief Encounter ","no"
"1946 (19th)","ACTRESS","Duel in the Sun ","no"
"1946 (19th)","ACTRESS","Sister Kenny ","no"
"1946 (19th)","ACTRESS","The Yearling ","no"
"1946 (19th)","ACTRESS IN A SUPPORTING ROLE","The Spiral Staircase ","no"
"1946 (19th)","ACTRESS IN A SUPPORTING ROLE","The Razor's Edge ","yes"
"1946 (19th)","ACTRESS IN A SUPPORTING ROLE","Duel in the Sun ","no"
"1946 (19th)","ACTRESS IN A SUPPORTING ROLE","Saratoga Trunk ","no"
"1946 (19th)","ACTRESS IN A SUPPORTING ROLE","Anna and the King of Siam ","no"
"1946 (19th)","DIRECTING","The Best Years of Our Lives","yes"
"1946 (19th)","DIRECTING","Brief Encounter","no"
"1946 (19th)","DIRECTING","It's a Wonderful Life","no"
"1946 (19th)","DIRECTING","The Killers","no"
"1946 (19th)","DIRECTING","The Yearling","no"
"1946 (19th)","FILM EDITING","The Best Years of Our Lives","yes"
"1946 (19th)","FILM EDITING","It's a Wonderful Life","no"
"1946 (19th)","FILM EDITING","The Jolson Story","no"
"1946 (19th)","FILM EDITING","The Killers","no"
"1946 (19th)","FILM EDITING","The Yearling","no"
"1947 (20th)","ACTOR","A Double Life ","yes"
"1947 (20th)","ACTOR","Body and Soul ","no"
"1947 (20th)","ACTOR","Gentleman's Agreement ","no"
"1947 (20th)","ACTOR","Life with Father ","no"
"1947 (20th)","ACTOR","Mourning Becomes Electra ","no"
"1947 (20th)","ACTOR IN A SUPPORTING ROLE","The Farmer's Daughter ","no"
"1947 (20th)","ACTOR IN A SUPPORTING ROLE","Ride the Pink Horse ","no"
"1947 (20th)","ACTOR IN A SUPPORTING ROLE","Miracle on 34th Street ","yes"
"1947 (20th)","ACTOR IN A SUPPORTING ROLE","Crossfire ","no"
"1947 (20th)","ACTOR IN A SUPPORTING ROLE","Kiss of Death ","no"
"1947 (20th)","ACTRESS","Possessed ","no"
"1947 (20th)","ACTRESS","Smash-Up--The Story of a Woman ","no"
"1947 (20th)","ACTRESS","Gentleman's Agreement ","no"
"1947 (20th)","ACTRESS","Mourning Becomes Electra ","no"
"1947 (20th)","ACTRESS","The Farmer's Daughter ","yes"
"1947 (20th)","ACTRESS IN A SUPPORTING ROLE","The Paradine Case ","no"
"1947 (20th)","ACTRESS IN A SUPPORTING ROLE","Crossfire ","no"
"1947 (20th)","ACTRESS IN A SUPPORTING ROLE","Gentleman's Agreement ","yes"
"1947 (20th)","ACTRESS IN A SUPPORTING ROLE","The Egg and I ","no"
"1947 (20th)","ACTRESS IN A SUPPORTING ROLE","Gentleman's Agreement ","no"
"1947 (20th)","DIRECTING","The Bishop's Wife","no"
"1947 (20th)","DIRECTING","Crossfire","no"
"1947 (20th)","DIRECTING","A Double Life","no"
"1947 (20th)","DIRECTING","Gentleman's Agreement","yes"
"1947 (20th)","DIRECTING","Great Expectations","no"
"1947 (20th)","FILM EDITING","The Bishop's Wife","no"
"1947 (20th)","FILM EDITING","Body and Soul","yes"
"1947 (20th)","FILM EDITING","Gentleman's Agreement","no"
"1947 (20th)","FILM EDITING","Green Dolphin Street","no"
"1947 (20th)","FILM EDITING","Odd Man Out","no"
"1948 (21st)","ACTOR","Johnny Belinda ","no"
"1948 (21st)","ACTOR","The Search ","no"
"1948 (21st)","ACTOR","When My Baby Smiles at Me ","no"
