"Year","Category","Nominee","Won"
1941,"ACTRESS IN A SUPPORTING ROLE","The Little Foxes","no"
1941,"ACTRESS IN A SUPPORTING ROLE","The Little Foxes","no"
1941,"ACTRESS IN A SUPPORTING ROLE","Sergeant York","no"
1941,"DIRECTING","Citizen Kane","no"
1941,"DIRECTING","Here Comes Mr. Jordan","no"
1941,"DIRECTING","How Green Was My Valley","yes"
1941,"DIRECTING","The Little Foxes","no"
1941,"DIRECTING","Sergeant York","no"
1941,"FILM EDITING","Citizen Kane","no"
1941,"FILM EDITING","Dr. Jekyll and Mr. Hyde","no"
1941,"FILM EDITING","How Green Was My Valley","no"
1941,"FILM EDITING","The Little Foxes","no"
1941,"FILM EDITING","Sergeant York","yes"
1942,"ACTOR IN A LEADING ROLE","Yankee Doodle Dandy","yes"
1942,"ACTOR IN A LEADING ROLE","Random Harvest","no"
1942,"ACTOR IN A LEADING ROLE","The Pride of the Yankees","no"
1942,"ACTOR IN A LEADING ROLE","Mrs. Miniver","no"
1942,"ACTOR IN A LEADING ROLE","The Pied Piper","no"
1942,"ACTOR IN A SUPPORTING ROLE","Wake Island","no"
1942,"ACTOR IN A SUPPORTING ROLE","Johnny Eager","yes"
1942,"ACTOR IN A SUPPORTING ROLE","Yankee Doodle Dandy","no"
1942,"ACTOR IN A SUPPORTING ROLE","Tortilla Flat","no"
1942,"ACTOR IN A SUPPORTING ROLE","Mrs. Miniver","no"
1942,"ACTRESS IN A LEADING ROLE","Now; Voyager","no"
1942,"ACTRESS IN A LEADING ROLE","Mrs. Miniver","yes"
1942,"ACTRESS IN A LEADING ROLE","Woman of the Year","no"
1942,"ACTRESS IN A LEADING ROLE","My Sister Eileen","no"
1942,"ACTRESS IN A LEADING ROLE","The Pride of the Yankees","no"
1942,"ACTRESS IN A SUPPORTING ROLE","Now; Voyager","no"
1942,"ACTRESS IN A SUPPORTING ROLE","The Magnificent Ambersons","no"
1942,"ACTRESS IN A SUPPORTING ROLE","Random Harvest","no"
1942,"ACTRESS IN A SUPPORTING ROLE","Mrs. Miniver","no"
1942,"ACTRESS IN A SUPPORTING ROLE","Mrs. Miniver","yes"
1942,"DIRECTING","Kings Row","no"
1942,"DIRECTING","Mrs. Miniver","yes"
1942,"DIRECTING","Random Harvest","no"
1942,"DIRECTING","Wake Island","no"
1942,"DIRECTING","Yankee Doodle Dandy","no"
1942,"FILM EDITING","Mrs. Miniver","no"
1942,"FILM EDITING","The Pride of the Yankees","yes"
1942,"FILM EDITING","The Talk of the Town","no"
1942,"FILM EDITING","This above All","no"
1942,"FILM EDITING","Yankee Doodle Dandy","no"
1943,"ACTOR IN A LEADING ROLE","Casablanca","no"
1943,"ACTOR IN A LEADING ROLE","For Whom the Bell Tolls","no"
1943,"ACTOR IN A LEADING ROLE","Watch on the Rhine","yes"
1943,"ACTOR IN A LEADING ROLE","Madame Curie","no"
1943,"ACTOR IN A LEADING ROLE","The Human Comedy","no"
1943,"ACTOR IN A SUPPORTING ROLE","The Song of Bernadette","no"
1943,"ACTOR IN A SUPPORTING ROLE","The More the Merrier","yes"
1943,"ACTOR IN A SUPPORTING ROLE","Sahara","no"
1943,"ACTOR IN A SUPPORTING ROLE","Casablanca","no"
1943,"ACTOR IN A SUPPORTING ROLE","For Whom the Bell Tolls","no"
1943,"ACTRESS IN A LEADING ROLE","The More the Merrier","no"
1943,"ACTRESS IN A LEADING ROLE","For Whom the Bell Tolls","no"
1943,"ACTRESS IN A LEADING ROLE","The Constant Nymph","no"
1943,"ACTRESS IN A LEADING ROLE","Madame Curie","no"
1943,"ACTRESS IN A LEADING ROLE","The Song of Bernadette","yes"
