Year,Category,Nominee,Additional.Info,Won.
1936 (9th),SOUND RECORDING,Mr. Deeds Goes to Town,Columbia Studio Sound Department; John Livadary; Sound Director,no
1936 (9th),SOUND RECORDING,San Francisco,Metro-Goldwyn-Mayer Studio Sound Department; Douglas Shearer; Sound Director,yes
1936 (9th),SOUND RECORDING,The Texas Rangers,Paramount Studio Sound Department; Franklin B. Hansen; Sound Director,no
1936 (9th),SOUND RECORDING,That Girl from Paris,RKO Radio Studio Sound Department; J. O. Aalberg; Sound Director,no
1936 (9th),SOUND RECORDING,Three Smart Girls,Universal Studio Sound Department; Homer G. Tasker; Sound Director,no
1936 (9th),WRITING (Original Story),Fury,Norman Krasna,no
1936 (9th),WRITING (Original Story),The Great Ziegfeld,William Anthony McGuire,no
1936 (9th),WRITING (Original Story),San Francisco,Robert Hopkins,no
1936 (9th),WRITING (Original Story),The Story of Louis Pasteur,Pierre Collings; Sheridan Gibney,yes
1936 (9th),WRITING (Original Story),Three Smart Girls,Adele Comandini,no
1936 (9th),WRITING (Screenplay),After the Thin Man,Frances Goodrich; Albert Hackett,no
1936 (9th),WRITING (Screenplay),Dodsworth,Sidney Howard,no
1936 (9th),WRITING (Screenplay),Mr. Deeds Goes to Town,Robert Riskin,no
1936 (9th),WRITING (Screenplay),My Man Godfrey,Eric Hatch; Morris Ryskind,no
1936 (9th),WRITING (Screenplay),The Story of Louis Pasteur,Pierre Collings; Sheridan Gibney,yes
1936 (9th),SPECIAL AWARD,To The March of Time for its significance to motion pictures and for having revolutionized one of the most important branches of the industry - the newsreel.,NA,yes
1936 (9th),SPECIAL AWARD,To W. Howard Greene and Harold Rosson for the color cinematography of the Selznick International Production; The Garden of Allah.,NA,yes
1936 (9th),SCIENTIFIC OR TECHNICAL AWARD (Class I),To DOUGLAS SHEARER and the METRO-GOLDWYN-MAYER STUDIO SOUND DEPARTMENT for the development of a practical two-way horn system and a biased Class A push-pull recording system. ,NA,yes
1936 (9th),SCIENTIFIC OR TECHNICAL AWARD (Class II),To E. C. WENTE and the BELL TELEPHONE LABORATORIES for their multi-cellular high-frequency horn and receiver. ,NA,yes
1936 (9th),SCIENTIFIC OR TECHNICAL AWARD (Class II),To RCA MANUFACTURING CO.; INC.; for their rotary stabilizer sound head. ,NA,yes
1936 (9th),SCIENTIFIC OR TECHNICAL AWARD (Class III),To RCA MANUFACTURING CO.; INC.; for their development of a method of recording and printing sound records utilizing a restricted spectrum (known as ultra-violet light recording). ,NA,yes
1936 (9th),SCIENTIFIC OR TECHNICAL AWARD (Class III),To ELECTRICAL RESEARCH PRODUCTS; INC. for the ERPI Type Q portable recording channel. ,NA,yes
1936 (9th),SCIENTIFIC OR TECHNICAL AWARD (Class III),To RCA MANUFACTURING CO.; INC.; for furnishing a practical design and specifications for a non-slip printer. ,NA,yes
